ssn,erytrocyty,hbver,hematokrit,hemoglobin,race_1,race_2,race_3,race_4,race_5,indicator
730-44-1777,0.7073733955990464,0.9671140995800834,-0.25888094868189104,1.1467664076664656,1,0,0,0,0,1.0
729-41-7926,-1.0009919401557268,-0.8960504989702789,0.3691019160480068,0.06747962346786912,1,0,0,0,0,0.0
885-19-2032,-2.0879045095218576,-0.6759428890556332,-1.0320857912750119,-0.8224008613060846,0,1,0,0,0,1.0
323-48-1308,-0.13825216659954342,-0.4118577476279445,0.6007336038442642,-0.41013778358989955,0,0,0,0,1,0.0
347-78-5308,3.784745790102817,2.1389555254899935,2.67964477218309,-3.080144242212324,0,1,0,0,0,0.0
326-53-3056,-0.9771515061249654,-0.8387723195033062,1.5866682061012984,-2.2599424597645967,1,0,0,0,0,0.0
078-36-3032,-0.43501103334192803,-0.2649813317008891,1.5736406085361205,0.02326461099112782,1,0,0,0,0,0.0
118-68-0026,0.37548581378882234,0.34791588999331097,1.1055561441430177,0.17526106286478954,1,0,0,0,0,1.0
445-21-7457,0.25741766573306635,-0.36073176475833907,0.2713197027544179,0.805994680752186,1,0,0,0,0,0.0
338-80-2011,-0.5976869361400631,0.5258185255638721,0.1940443574279591,-1.0477508045658837,1,0,0,0,0,0.0
078-32-2567,0.21032545036366118,0.6077831216612902,0.493798218055411,0.2937142381680172,1,0,0,0,0,1.0
211-49-3690,-1.1242107992675117,0.9659431767786918,-0.15496109437949088,0.7398175451059426,0,1,0,0,0,1.0
281-22-0427,1.3047260282398163,1.5886347472093951,0.6812752525063619,-0.23758354712686966,1,0,0,0,0,1.0
458-20-0724,0.06023632718815695,0.277492323054361,0.5860007577046266,-2.2185608705023996,0,0,0,0,1,0.0
742-24-1191,0.6886057627091807,0.7349673331273713,1.646420868465932,-0.6828949803279789,0,0,0,1,0,1.0
094-53-2922,0.5427930282087654,0.8582312174241522,1.1005720536404597,-0.6429301026730541,0,0,0,0,1,1.0
405-33-2043,-0.2665611401666974,0.5862471989771303,0.5196653342988772,0.2743504506974421,0,0,1,0,0,1.0
316-77-5324,1.1576147951538482,-0.6442503431770807,1.606598298815303,-0.19820638826098755,0,0,0,0,1,0.0
404-21-6433,0.9409126945394521,-0.5888094127465464,-1.6702876088592113,0.9139060369340534,1,0,0,0,0,1.0
710-27-5330,0.209104861693241,-0.892557138126348,-0.638825377382581,1.3032109627961475,1,0,0,0,0,0.0
558-02-0301,0.42169505012005076,-0.7070014546328789,0.3213110708895131,1.9107760873681114,0,1,0,0,0,1.0
380-42-9007,-0.7655048933369908,-0.7714669005769018,-2.2718391206849753,-0.10311967470739647,0,0,0,1,0,1.0
078-90-2088,0.1467076763287789,-1.7400011945567757,1.6042786592103384,-1.7258669298772853,1,0,0,0,0,0.0
280-78-4612,0.23729959431422462,0.5574722563219355,0.8397191761178814,-0.03954087476007951,0,1,0,0,0,1.0
537-31-3052,-0.7830086542702513,0.5977429438283629,-0.13808414892931856,-0.45192768274764233,1,0,0,0,0,0.0
187-60-0718,-1.053546506241693,-1.3225445737070194,-0.6326751977813104,-0.42174986955867577,0,0,0,1,0,1.0
302-20-6549,-0.07936958407331259,0.45529792082370146,-0.45769914001224826,1.2325114857310564,1,0,0,0,0,1.0
526-73-0004,-1.5632937676437912,0.15236531297415068,0.41218451973804604,0.71489208193695,1,0,0,0,0,1.0
741-09-7761,0.1048094553015877,0.2590033873285188,1.8351016077929725,-0.4558375593231704,1,0,0,0,0,1.0
